fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
IndEvo_header0,Disclaimer,Header,Disclaimer,,,,,General
IndEvo_text0,,Text,No guarantees for stability if you fuck with anything in here because I did not test it and probably never will.,,,,,General
IndEvo_text_application_note,,Text,Some settings will not apply unless you start a new game.,,,,,General
IndEvo_header1,General,Header,General,,,,,General
IndEvo_CommerceBalanceChanges,[General] Commerce Adjustments,Boolean,TRUE,,"Изменения в балансе торговли. Прочитайте о том, почему это было необходимо, здесь: bit.ly/commerce_balance. Можно отключить во время текущей кампании, чтобы вернуться к оригинальному поведению (может потребоваться повторная стыковка).",,,General
IndEvo_Corruption,[General] Corrupt Colony Officials,Boolean,FALSE,,"Включает режим, в котором ваши колонии начнут терять деньги тем больше, чем больше вы зарабатываете. Это означает, что получение колонией дохода выше 200 тысяч - невероятный подвиг, но получение 50-100 тысяч - как в оригинальной игре. Рассчитывается по формуле f(x)=x^(-0.6)",,,General
IndEvo_CorruptionCutoff,[General] Corruption Income Cutoff,Int,40000,,Доход до этого числа не облагается штрафом за коррупцию (если включена),0,200000,General
IndEvo_shipPickerRowCount,[General] Ship Picker Row Count,Int,8,,Количество строк в большинстве диалоговых окон выбора корабля в моде.,0,100,General
IndEvo_header2,Industries,Header,Industries,,,,,Industries
IndEvo_AdManuf,[Industries] Variable Manufactory,Boolean,TRUE,,"Включает или отключает Variable Manufactory. Обратите внимание, что отключение отраслей Variable не остановит выпадение VPC - вам придется удалить записи из drop_groups.csv, чтобы добиться этого.",,,Industries
IndEvo_AdAssem,[Industries] Variable Assembler,Boolean,TRUE,,Включает или отключает Variable Assembler,,,Industries
IndEvo_ComForge,[Industries] Commodity Forge,Boolean,TRUE,,Включает или отключает Commodity Forge,,,Industries
IndEvo_ComArray,[Industries] Military Relays,Boolean,TRUE,,Включает или отключает Military Relay,,,Industries
IndEvo_IntArray,[Industries] Interstellar Relay,Boolean,TRUE,,Включает или отключает Interstellar Relay,,,Industries
IndEvo_AdInfra,[Industries] Centralization Bureau,Boolean,TRUE,,Включает или отключает Centralization Bureau,,,Industries
IndEvo_ScrapYard,[Industries] Salvage Yards,Boolean,TRUE,,"Включает или отключает Salvage Yards, отключите это, чтобы отключить компоненты звездолета. Нет, вы не можете иметь одно без другого, идите пососите хер. Не забудьте про группу выпадения. (drop group.)",,,Industries
IndEvo_SupCom,[Industries] Supercomputer,Boolean,TRUE,,Включает или отключает Supercomputer,,,Industries
IndEvo_embassy,[Industries] Embassy,Boolean,TRUE,,"Включает или отключает Embassy, также отключает скрипты управления Ambassador.",,,Industries
IndEvo_senate,[Industries] Senate,Boolean,TRUE,,Включает или отключает Senate,,,Industries
IndEvo_dryDock,[Industries] Restoration Docks,Boolean,TRUE,,Включает или отключает Restoration Docks,,,Industries
IndEvo_Academy,[Industries] Academy,Boolean,TRUE,,Включает или отключает Academy,,,Industries
IndEvo_ReqCenter,[Industries] Requisitions Centre,Boolean,TRUE,,Включает или отключает Requisitions Centre,,,Industries
IndEvo_EngHub,[Industries] Engineering Hub,Boolean,TRUE,,Включает или отключает Engineering Hub,,,Industries
IndEvo_PrivatePort,[Industries] Courier Port,Boolean,TRUE,,Включает или отключает Courier Port,,,Industries
IndEvo_pirateHaven,[Industries] Privateer Base,Boolean,TRUE,,Включает или отключает Privateer Base,,,Industries
IndEvo_SwitchableRefining,[Industries] Specialized Refining,Boolean,TRUE,,Включает или отключает Specialized Refining,,,Industries
IndEvo_SwitchableMining,[Industries] Specialized Mining,Boolean,TRUE,,Включает или отключает Specialized Mining,,,Industries
IndEvo_GovernmentLarpMode,[Governance] Government Larping,Boolean,FALSE,,"Если установить значение true, планетарные правительства будут вести себя как в оригинальной игре ""население и инфраструктура"" и станут косметическим выбором.",,,Industries
IndEvo_GovernmentMaxSize,[Governance] Max size for government change,Int,3,,"Определяет, насколько большой может быть колония для смены типа правительства. Создание стабильной колонии, а затем ее смена - это жульничество, которое отнимает суть работы: больше наград за более высокие трудности.",,,Industries
IndEvo_derelictDeliverToGathering,[Derelict Industries] Deliver to Gathering Point,Boolean,FALSE,,Вся продукция заброшенной промышленности будет доставляться в пункт сбора вместо локального хранилища. Помните - существует курьерский порт.,,,Industries
IndEvo_DerInfraBuildRed,[Derelict Industries] Derelict Infra Cost Reduction,Double,0.5,,Снижение стоимости и времени строительства заброшенной инфраструктуры,,,Industries
IndEvo_header3,Exploration & Campaign,Header,Exploration & Campaign,,,,,Exploration & Campaign
IndEvo_pets,[Exploration] Pets,Boolean,TRUE,,"Включает/выключает питомцев, выпадение криокамеры для питомцев в кампании, появление заброшенных станций для питомцев и доступность индустрии.",,,Exploration & Campaign
IndEvo_Enable_Derelicts,[Exploration] Events and Industries,Boolean,TRUE,,"Включает события по сбору обломков, а также заброшенную инфраструктуру и промышленность",,,Exploration & Campaign
IndEvo_AutomatedShipyardNum,[Exploration] Automated Shipyards Amount,Double,1.5,,"Количество корональных отводов * число = количество автоматизированных верфей. По умолчанию отводов 2, поэтому верфей по умолчанию 3 (2 * 1,5). Округляется в большую сторону.",0,10,Exploration & Campaign
IndEvo_CrucibleNum,[Exploration] Crucible Amount,Double,0.4,,"Количество корональных отводов * число = количество автоматизированных тиглей. По умолчанию отводов 2, поэтому тиглей по умолчанию 1 (2 * 0,5). Округляется в большую сторону.",0,10,Exploration & Campaign
IndEvo_SpecialApplicationChance,[Exploration] Special Event Application Chance,Double,0.9,,"Основной шанс применения специального события к объекту, у которого его нет. Обратите внимание, что шанс на самом деле ниже, так как у каждого объекта есть определенный шанс закончиться ничем.",,,Exploration & Campaign
IndEvo_enable_derelict_stations,[Exploration] Additional Station Types,Boolean,TRUE,,"Включает пользовательские типы станций, такие как орбитальные лаборатории и арсенальные станции",,,Exploration & Campaign
IndEvo_derelictStationAmount,[Exploration] Additional Station Type Amounts,Double,0.2,,"Количество дополнительных станций с пользовательскими типами, созданных поверх существующих (0,2 = 20%% дополнительных)",,,Exploration & Campaign
IndEvo_PartsDropInCampaign,[Commodities] Ship Parts Campaign Drops,Boolean,TRUE,,"Заставляет компоненты звездолетов выпадать в бою - компоненты реликвий все равно будут выпадать, даже если вы отключите это.",,,Exploration & Campaign
IndEvo_relicComponentHardbattleFPAdvantage,[Commodities] Relic Component Hard Battle FP Advantage,Double,1.5,,"На сколько больше ОФ должен иметь вражеский флот, чтобы из него выпали компоненты реликвий после поражения",,,Exploration & Campaign
IndEvo_relicComponentFPDestroyedFract,"[Commodities] Relic Component ""Destroy to drop"" Fraction",Double,0.5,,"Какую часть указанного флота вы должны уничтожить, чтобы из него выпали компоненты реликвий",,,Exploration & Campaign
IndEvo_header4,Minefields,Header,Minefields,,,,,Minefields
IndEvo_Enable_minefields,[Minefields] Minefields,Boolean,TRUE,,"Возможно, потребуется новая игра, не знаю",,,Minefields
IndEvo_Minefield_HitChance_frigate,[Minefields] Hit Chance [Frigate],Double,0.02,,Каждый корабль во флоте суммируется и увеличивает шанс поражения миной,,,Minefields
IndEvo_Minefield_HitChance_destroyer,[Minefields] Hit Chance [Destroyer],Double,0.04,,Каждый корабль во флоте суммируется и увеличивает шанс поражения миной,,,Minefields
IndEvo_Minefield_HitChance_cruiser,[Minefields] Hit Chance [Cruiser],Double,0.06,,Каждый корабль во флоте суммируется и увеличивает шанс поражения миной,,,Minefields
IndEvo_Minefield_HitChance_capital,[Minefields] Hit Chance [Capital],Double,0.12,,Каждый корабль во флоте суммируется и увеличивает шанс поражения миной,,,Minefields
IndEvo_Minefield_NoHitUntilSum,[Minefields] No Hit Until Sum,Double,0.5,,"Минимальный размер флота, необходимый для того, чтобы мины взрывались перед вашим лицом при медленном движении",,,Minefields
IndEvo_Minefield_CivilianShipImpactMult,[Minefields] Civ Ship Hit Chance Mult,Double,0.5,,Гражданские корабли считаются наполовину и т.д. для вышеуказанного,,,Minefields
IndEvo_Minefield_PhaseShipImpactMult,[Minefields] Phase Ship Hit Chance Mult,Double,0.3,,,,,Minefields
IndEvo_header5,Artillery,Header,Artillery,,,,,Artillery
IndEvo_Enable_Artillery,[Artillery] Spawn Artillery Stations,Boolean,TRUE,,"Работает только в новой игре. Отключение этого означает, что у вас слабые кости.",,,Artillery
IndEvo_Artillery_spawnWeight,[Artillery] Spawn Chance,Double,1,,"Насколько вероятно наличие артиллерийской станции в системе. Уменьшите это число, чтобы они стали реже. 1 = от 5 до 10%% всех систем будут иметь такую.",0,100,Artillery
IndEvo_Artillery_starsPerStationInConstellation,[Artillery] Stars per station in a constellation,Double,1,,"Определяет, сколько артиллерийских станций может появиться на X звезд в созвездии. По умолчанию = Одна станция на 3 звезды. Чем ниже число, тем более кластеризованы станции. Установка слишком высокого значения приведет к тому, что станции не будут появляться.",0,100,Artillery
IndEvo_Watchtower_faction_reset,[Artillery] Time to watchtower faction reset,Int,31,,"Время в днях, необходимое для сброса сторожевых башен к фракции, контролирующей артиллерию. Это необходимо для избежания ""мертвых"" артиллерий после захвата пиратской станцией и последующего захвата их сторожевых башен в результате вторжения.",,,Artillery
IndEvo_Artillery_minDelayBetweenShots,[Artillery] Min Delay Between Shots,Double,2,,"Задержка между выстрелами - если у артиллерии есть две действительные цели, потребуется столько времени, чтобы выстрелить по обеим",0,100,Artillery
IndEvo_Artillery_maxDelayBetweenShots,[Artillery] Max Delay Between Shots,Double,3,,,1,100,Artillery
IndEvo_Artillery_minCooldown,[Artillery] Min Cooldown,Double,15,,"Перезарядка по одиночной цели - она стреляет в вас, затем ждет это время, затем стреляет снова",0,100,Artillery
IndEvo_Artillery_maxCooldown,[Artillery] Max Cooldown,Double,17,,,1,100,Artillery
IndEvo_Artillery_cooldownNPCMult,[Artillery] NPC Cooldown Mult,Double,2,,"Умножает время перезарядки для флотов NPC, потому что в противном случае их разносят в щепки",1,100,Artillery
IndEvo_Artillery_minRange,[Artillery] Min Range,Double,500,,,1,1000,Artillery
IndEvo_Artillery_maxRange,[Artillery] Max Range,Double,12000,,=6 ячеек карты,2,100000,Artillery
IndEvo_Artillery_WatchtowerRange,[Artillery] Watchtower Range,Double,4000,,,1,10000,Artillery
IndEvo_Artillery_defense_FP2,[Artillery] Defence Fleet FP,Double,80,,"Базовый размер флота, который появляется для защиты артиллерийских станций. Должно быть минимум 1, иначе произойдет сбой.",1,1000,Artillery
IndEvo_Artillery_mortar_projectilesPerShot,[Mortar Artillery] Projectiles per Shot,Int,8,,,1,30,Artillery
IndEvo_Artillery_mortar_projectilesImpactTime,[Mortar Artillery] Time to Impact,Double,5,,,1,60,Artillery
IndEvo_Artillery_mortar_explosionSize,[Mortar Artillery] Explosion Radius,Double,300,,,1,1000,Artillery
IndEvo_Artillery_railgun_projectilesPerShot,[Railgun Artillery] Projectiles per Shot,Int,3,,"Если вы увеличите это, вам следует также увеличить fuzz mult",1,30,Artillery
IndEvo_Artillery_railgun_projectilesImpactTime,[Railgun Artillery] Time to Impact,Double,1.5,,,,,Artillery
IndEvo_Artillery_railgun_shotFuzzMult,[Railgun Artillery] Shot Fuzziness,Double,0.4,,"Насколько выстрелы промахиваются по цели, чем выше = тем больше",,,Artillery
IndEvo_Artillery_missile_projectilesPerShot,[Missile Artillery] Projectiles per Shot,Int,4,,Должно делиться на 2,1,30,Artillery
IndEvo_Artillery_missile_projectilesImpactTime,[Missile Artillery] Time to Impact,Double,8,,,1,60,Artillery
IndEvo_Artillery_missile_maxCoveredArea,[Missile Artillery] Missile Roaming Area,Double,800,,"Максимальная область, которую покрывают ракеты - также зависит от fuzz",1,10000,Artillery
IndEvo_Artillery_missile_fuzz,[Missile Artillery] Shot Fuzziness,Double,1,,Насколько точно ракеты предсказывают ваше местоположение; меньше 1 делает их бесполезными,1,10,Artillery
IndEvo_Artillery_missile_explosionRadius,[Missile Artillery] Explosion Radius,Double,200,,,1,1000,Artillery
IndEvo_Artillery_missile_duration,[Missile Artillery] Roaming Duration,Double,10,,,1,60,Artillery
IndEvo_header6,Industry Settings,Header,Industry Settings,,,,,Industries
IndEvo_EngHubStrictWhitelist,[Engineering Hub] Use strict whitelist,Boolean,FALSE,,"Отключить автоматический белый список и вернуться к строгой системе белого списка на основе ручного ввода. Это означает, что только корабли, которые перечислены в белом списке reverse_engineering.csv, имеют право на исследование.",,,Industries
IndEvo_EngHubIgnoreWhitelists,[Engineering Hub] Ignore Whitelist,Boolean,FALSE,,"Да, это то, что вы ищете (ПРИМЕЧАНИЕ: версия после 4.0 имеет автоматический белый список, который намного шире, и вам, возможно, больше не понадобится этот параметр)",,,Industries
IndEvo_AutoshipBPToGatheringPoint,[Engineering Hub] Auto Transfer BP to Gathering Point,Boolean,FALSE,,Помните - Курьерский порт существует,,,Industries
IndEvo_RarePartsAmountPerFP,[Salvage Yards] Relic Components per FP,Int,2,,Требуемое количество компонентов реликвий на ОФ для нулевых D-модов,1,10,Industries
IndEvo_SYBaseDMods,[Salvage Yards] Base D-Mod Amount,Int,5,,"Базовое количество D-модов на кораблях, построенных через Yards",1,10,Industries
IndEvo_SYPartValueMult,[Salvage Yards] Ship Component Value Mult,Double,1.2,,"Множитель того, насколько компоненты вносят вклад в бюджет - значение по умолчанию означает, что каждый компонент вносит 1,2x своей стандартной стоимости в бюджет",,,Industries
IndEvo_SYHullDeliveryTime,[Salvage Yards] Delivery Thyme,Int,60,,"Итальянские звуки, когда человек на кроссовере доставляет Парагон голодному космическому капитану",1,365,Industries
IndEvo_SYDModMoveBaseCostMult,[Salvage Yards] D-Mod Moving Base Cost Mult,Double,0.8,,"Во сколько обходится перемещение D-мода по сравнению с его восстановлением. По умолчанию перемещение D-мода на 0,8x дешевле стоимости восстановления. Я думаю. Не помню, может быть, и общая стоимость.",,,Industries
IndEvo_RaidForUnknownOnly,[Privateer Base] Raid only for Unknown BPs,Boolean,FALSE,,"Разрешает базе каперов совершать набеги на чертежи, которые вы уже знаете. Установка этого значения в TRUE позволит создавать только чертежи, которые вы не знаете, вместо смеси",,,Industries
IndEvo_PrivateerDeliverToGatheringPoint,[Privateer Base] Deliver to Gathering Point,Boolean,FALSE,,Автоматически доставлять награбленное в пункт сбора. Помните - Курьерский порт существует.,,,Industries
IndEvo_RG_cooldownTime,[Rift Generator] Cooldown,Int,90,,,1,365,Industries
IndEvo_RG_range,[Rift Generator] Range,Int,9,,в св. году,1,100,Industries
IndEvo_reslab_autoDeliverToClosestDecon,[Derelict Laboratory] Deliver to Gathering Point,Boolean,FALSE,,Автоматически доставлять восстановленные шаблоны кузницы в ближайший HullDecon. Помните - Курьерский порт существует.,,,Industries
IndEvo_DeconIgnoreWhitelists,[Hull Deconstructor] Ignore Whitelists,Boolean,TRUE,,"Не трогайте это, вам нужен инженерный центр",,,Industries
IndEvo_DeconAllowNexOmega,[Hull Deconstructor] Allow Deconstructing the Nex Omega Merc,Boolean,FALSE,,Добавлено по запросу :),,,Industries
IndEvo_hullDecon_autoDeliverToClosestForge,[Hull Deconstructor] Deliver to closest Forge,Boolean,FALSE,,Автоматически доставлять готовые шаблоны кузницы в ближайший HullForge. Помните - Курьерский порт существует.,,,Industries
IndEvo_hullDecon_days_FRIGATE,[Hull Deconstructor] Deconstruction Time in Days [Frigate],Int,10,,,1,100,Industries
IndEvo_hullDecon_days_DESTROYER,[Hull Deconstructor] Deconstruction Time in Days [Destroyer],Int,20,,,1,100,Industries
IndEvo_hullDecon_days_CRUISER,[Hull Deconstructor] Deconstruction Time in Days [Cruiser],Int,30,,,1,100,Industries
IndEvo_hullDecon_days_CAPITAL_SHIP,[Hull Deconstructor] Deconstruction Time in Days [Capital],Int,40,,,1,100,Industries
IndEvo_hullForge_autoQueueShipsUntilEmpty,[Hull Forge] Auto-Queue Ships,Boolean,TRUE,,"Печатать корабли по шаблону, пока он не станет пустым - FALSE = депонировать в хранилище после одного запуска",,,Industries
IndEvo_hullForge_autoDeliverToClosestLab,[Hull Forge] Deliver to closest Laboratory,Boolean,FALSE,,Автоматически доставлять ухудшенные шаблоны кузницы в ближайшую лабораторию - или пустые в деконструктор (только эффект AI Core). Помните - Курьерский порт существует.,,,Industries
IndEvo_hullForge_days_FRIGATE,[Hull Forge] Construction Time in Days [Frigate],Int,5,,,1,100,Industries
IndEvo_hullForge_days_DESTROYER,[Hull Forge] Construction Time in Days [Destroyer],Int,10,,,1,100,Industries
IndEvo_hullForge_days_CRUISER,[Hull Forge] Construction Time in Days [Cruiser],Int,15,,,1,100,Industries
IndEvo_hullForge_days_CAPITAL_SHIP,[Hull Forge] Construction Time in Days [Capital],Int,20,,,1,100,Industries
IndEvo_alpha_core_runtime,[Supercomputer] Core Runtime [Alpha],Int,558,,"Время работы ядра в днях до выгорания. Всплывающие подсказки будут сломаны, если число не кратно 31.",31,3100,Industries
IndEvo_beta_core_runtime,[Supercomputer] Core Runtime [Beta],Int,279,,"Время работы ядра в днях до выгорания. Всплывающие подсказки будут сломаны, если число не кратно 31.",31,3100,Industries
IndEvo_gamma_core_runtime,[Supercomputer] Core Runtime [Gamma],Int,93,,"Время работы ядра в днях до выгорания. Всплывающие подсказки будут сломаны, если число не кратно 31.",31,3100,Industries
IndEvo_restoFee_FRIGATE,[Restoration Docks] Extra Fee [Frigate],Double,1000,,Стоимость восстановления D-модов в режиме AI,1,100000,Industries
IndEvo_restoFee_DESTROYER,[Restoration Docks] Extra Fee [Destroyer],Double,3000,,Стоимость восстановления D-модов в режиме AI,1,100000,Industries
IndEvo_restoFee_CRUISER,[Restoration Docks] Extra Fee [Cruiser],Double,7000,,Стоимость восстановления D-модов в режиме AI,1,100000,Industries
IndEvo_restoFee_CAPITAL,[Restoration Docks] Extra Fee [Capital],Double,10000,,Стоимость восстановления D-модов в режиме AI,1,100000,Industries
IndEvo_dailyOfficerSpawnChance,[Academy] Daily Officer Spawn Chance,Double,0.15,,,,,Industries
IndEvo_dailyAdminSpawnChance,[Academy] Daily Admin Spawn Chance,Double,0.10,,,,,Industries
IndEvo_personalityTrainingDayCount,[Academy] Personality Training Duration,Int,93,,,1,365,Industries
IndEvo_personalityTrainingCost,[Academy] Personality Training Cost,Int,30000,,,1,100000,Industries
IndEvo_adminTrainingDayCount,[Academy] Admin Training Duration,Int,124,,,1,365,Industries
IndEvo_adminTrainingCost,[Academy] Admin Training Cost,Int,20000,,,1,100000,Industries
IndEvo_monthlyAIStorageCost,[Academy] Monthly Storage Cost,Int,2000,,"Для офицеров и администраторов, на человека, в месяц",1,10000,Industries
IndEvo_VarInd_deliverToProductionPoint,[Variable Industries] Deliver to Gathering Point,Boolean,FALSE,,Автоматическая доставка в пункт производства (по умолчанию - в локальное хранилище). Помните - Курьерский порт существует.,,,Industries
IndEvo_CPShieldRemove,[World Wonders] Cloud Painter Shield Texture Removal,Boolean,FALSE,,"Заставляет облачный художник удалять текстуру планетарного щита, чтобы облака оставались видимыми",,,Industries
IndEvo_CPShieldOverride,[World Wonders] Cloud Painter Shield Alternate Texture,Boolean,FALSE,,"Заменяет текстуру планетарного щита бесцветной альтернативной текстурой, благодаря чему облака остаются видимыми в дополнение к ощутимой текстуре щита. Не применяется, если для параметра ""Удаление текстуры щита"" установлено значение true!",,,Industries
