id,type,text1,text2,text3,notes
#Entities,,,,,
IndEvo_JumpRift,CUSTOM,"Огромный разрыв в ткани пространства, ведущий в гиперпространство. Он был создан выстрелом из Генератора Разломов, переместившим планету, которая когда-то здесь стояла, в другую звездную систему.",,,
IndEvo_arsenalStation,CUSTOM,"Заброшенная станция арсенала, построенная для того, чтобы пережить любое оружие, которое мог бы использовать давно умерший враг. Беглый осмотр показывает, что она была холодной и мертвой, по меньшей мере, десятки циклов, возможно, сотни. Более тщательный осмотр может принести трофеи.",,,
IndEvo_orbitalLaboratory,CUSTOM,"Заброшенная орбитальная лаборатория. Станции, подобные этой, были построены для того, чтобы уберечь экспериментальные технологии от посторонних глаз. Беглый осмотр показывает, что она была холодной и мертвой, по меньшей мере, десятки циклов, возможно, сотни. Более тщательный осмотр может принести трофеи.",,,
IndEvo_Watchtower,CUSTOM,"Этот автоматизированный пережиток старой системы обороны Домена передает данные целеуказания ближайшей артиллерии. Зашифрованные данные о цели недоступны контролирующей фракции и не раскрывают фактическое положение наблюдаемого флота.",,,
IndEvo_artilleryStation,CUSTOM,"Массивное стратегическое оружие системы обороны, построенное Доменом, этот гигант забытых технологий может самостоятельно обезопасить большую территорию. Он работает в полуавтономном режиме и будет нацеливаться на любые враждебные объекты, обнаруженные в пределах досягаемости.",,,
IndEvo_Artillery_mortar,CUSTOM,"Массивное стратегическое оружие системы обороны, построенное Доменом, этот гигант забытых технологий может самостоятельно обезопасить большую территорию. Он работает в полуавтономном режиме и будет нацеливаться на любые враждебные объекты, обнаруженные в пределах досягаемости.

Оборонительная платформа вооружена мортирой, обстреливающей цели большим количеством взрывных боеприпасов на экстремальной дальности.

Старые протоколы безопасности запрещают нацеливание на населенные районы.",,,
IndEvo_Artillery_missile,CUSTOM,"Массивное стратегическое оружие системы обороны, построенное Доменом, этот гигант забытых технологий может самостоятельно обезопасить большую территорию. Он работает в полуавтономном режиме и будет нацеливаться на любые враждебные объекты, обнаруженные в пределах досягаемости.

Оборонительная платформа вооружена ракетной установкой, запускающей крупнокалиберные самонаводящиеся ECM ракеты большой дальности для перехвата и замедления врагов.

Старые протоколы безопасности запрещают нацеливание на населенные районы.",,,
IndEvo_Artillery_railgun,CUSTOM,"Массивное стратегическое оружие системы обороны, построенное Доменом, этот гигант забытых технологий может самостоятельно обезопасить большую территорию. Он работает в полуавтономном режиме и будет нацеливаться на любые враждебные объекты, обнаруженные в пределах досягаемости.

Оборонительная платформа вооружена рельсовой пушкой, выпускающей несколько чрезвычайно быстрых снарядов на большой дальности.

Старые протоколы безопасности запрещают нацеливание на населенные районы.",,,
IndEvo_GachaStation,CUSTOM,"Безмолвные кольца этой массивной автоматизированной фабрики нависают перед бушующей звездой, тепловые щиты почернели от звёздных выбросов. Колонны механизмов, почти готические в своих сложных формах и украшениях, показывают, с каким благоговением была построена и поддерживалась эта старая станция - что, очевидно, не спасло её от заброшенности.",,,
