id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
IndEvo_AdManuf,Гибкое производство,50,60,,6,IndEvo_AdAssem,,"industry, industrial",,graphics/industry/manufactorium.png,indevo.industries.assembler.industry.VariableManufactory,"Чудо автономного переменного производства - полноразмерный промышленный комплекс, чья производительность зависит от установленного чипсета. Это - истинное воплощение промышленного наследия Три-Тахиона.

В конце каждого месяца размещает значительное количество произведенного товара в локальное хранилище.",500,MEDIUM
IndEvo_AdAssem,Гибкий сборщик,30,30,,3,,IndEvo_AdManuf,"structure, industrial",,graphics/industry/assembler.png,indevo.industries.assembler.industry.VariableAssembler,"Небольшая автономная производственная линия, чья производительность зависит от установленного чипсета. Разработана Три-Тахионом, большая часть таких линий была уничтожена после Второй ИИ войны.

В конце каждого месяца размещает часть произведенного товара в локальное хранилище.",500,HIGH
IndEvo_ComForge,Товарная кузница,40,45,,8,,,"structure, industrial",,graphics/industry/comforge.png,indevo.industries.assembler.industry.CommodityForge,"Эта грубая, но эффективная модификация переменного сборщика позволяет быстро производить товары в больших объемах. После установки, ВПК (Вероятно, Variable Production Cell - Ячейка Переменного Производства) привязывается к этой отрасли через несколько дней и уничтожается после трех производственных циклов.

Размещает большое количество товаров в локальное хранилище, количество зависит от типа ВПК и размера колонии.",500,
IndEvo_ComArray,Военные ретрансляторы,20,30,,4,,IndEvo_IntArray,"structure, unraidable, tactical_bombardment, patrol",,graphics/industry/milcomm.png,indevo.industries.relay.industry.MilitaryRelay,"Эти скрытые коммуникационные антенны обеспечивают мгновенный контакт и передачу данных со всеми союзными организациями в системе.

Увеличивает размер местного флота, в зависимости от размера самого большого флота среди всех планет с военным ретранслятором в этой звездной системе.

Действует как штаб патрулей, если на планете нет штаба патрулей.",500,
IndEvo_IntArray,Межзвёздный ретранслятор,30,45,,8,IndEvo_ComArray,,"structure, unraidable, tactical_bombardment, patrol",,graphics/industry/intArray.png,indevo.industries.relay.industry.MilitaryRelay,"Военизированная версия ретранслятора связи, обеспечивает быструю передачу данных между союзными звездными системами, сохраняя при этом высокий уровень безопасности.

Звездные системы с межзвездным ретранслятором могут обмениваться данными о размерах флотов для эффекта военного ретранслятора между ними.

Действует как штаб патрулей, если на планете нет штаба патрулей.",500,
IndEvo_AdInfra,Центральное бюро,45,60,,6,,,"structure, industrial, unraidable",,graphics/industry/adInfra.png,indevo.industries.CentralizationBureau,"Специализированная инфраструктура для управления производством, транспортировкой и хранением товаров в масштабе системы. Увеличивает объем местного производства в зависимости от количества одинаковых производств в звездной системе.",500,LOW
IndEvo_ScrapYard,Утилизационные верфи,40,45,,7,,,"heavyindustry, industry, industrial",,graphics/industry/scrapyards.png,indevo.industries.salvageyards.industry.SalvageYards,"Огромные свалки деталей космических кораблей, собранных по всей системе и доставленных сюда. Переработка останков космических кораблей может повысить производство, но неизбежно снизит качество кораблей. Эта отрасль может увеличить производственный бюджет, даже если на планете есть тяжелая промышленность, но требует постоянного притока новых обломков.

Собирайте единицы утильсырья, уничтожая корабли в звездной системе или добавляя оружие в промышленное хранилище.",500,LOW
IndEvo_SupCom,Суперкомпьютер,60,50,,4,,,industry,,graphics/industry/supcom_norm.png,indevo.industries.Supercomputer,"Построенные глубоко под землей, эти массивные суперкомпьютерные блоки используют порабощенный ИИ для облегчения своей работы, что приводит к выгоранию их ядер. Гегемония пристально следит за всеми этими объектами, но неизвестно ни одного случая создания нового интеллекта.

Увеличивает доход всех колоний в звездной системе, суммируется с уменьшающейся отдачей, потребляет ядра из пользовательского хранилища ядер ИИ для функционирования.",500,EXTREME
IndEvo_embassy,Посольство,30,30,,4,,,"structure, unraidable",,graphics/industry/emb_base.png,indevo.industries.embassy.industry.Embassy,"Посольства существовали с тех пор, как люди впервые сформировали страны - необходимость представлять себя другой стороне присутствует даже в нестабильном политическом климате Персейского сектора.

Эта структура ежемесячно улучшает отношения с одной фракцией, но увеличивает любые отрицательные изменения репутации на 50%.",500,
IndEvo_senate,"Сенат

",60,60,,8,,,"structure, unraidable",,graphics/industry/council.png,indevo.industries.senate.industry.Senate,"Сенат — это политическое сердце звездной системы. Представители каждой планеты встречаются здесь, принимая законы, политику и договоры. Это позволяет более прямо подходить к планетарному законодательству, решая все мелкие вопросы, возникающие при быстрых изменениях в регулировании.",500,
IndEvo_dryDock,Ремонтные доки,40,40,,5,,,"structure, unraidable",,graphics/industry/repairDocks.png,indevo.industries.RestorationDocks,"Сухие доки и сооружения для ремонта поврежденных звездолетов, бурлящие деятельностью - всегда найдется очередная развалина, которую нужно восстановить для клиента, слишком привязанного к груде металлолома, чтобы здраво рассуждать.

Медленно удаляет D-моды с кораблей, помещенных в специальное хранилище, с огромной скидкой по сравнению с быстрым восстановлением.",500,LOW
IndEvo_Academy,Академия,60,60,,8,,,"structure, unraidable",,graphics/industry/academy.png,indevo.industries.academy.industry.Academy,"Высокие стены этого бастиона образования украшены знаменами. Здесь обучается новое поколение лучших и самых способных жителей сектора, чтобы принять бремя своих предков - или просто умереть в какой-нибудь бессмысленной войне.

Эта структура повышает качество офицеров в масштабе всей системы, увеличивает количество офицеров для оборонительных флотов, собранных на этой планете, может хранить и обучать как администраторов, так и офицеров, и значительно увеличивает вероятность появления здесь наемных специалистов.",500,LOW
IndEvo_ReqCenter,Центр снабжения,40,40,,6,,,"structure, unraidable",,graphics/industry/reqMarket.png,indevo.industries.RequisitionCenter,"Больше напоминающий офис, чем рынок, Центр снабжения — это учреждение, которое часто посещают придирчивые капитаны кораблей, коллекционеры и люди, ищущие конкретные образцы импортного вооружения.

Создает рынок, где продается оружие фракций, с которыми у вас хорошие отношения. Наличие Посольства с активным послом на той же планете приведет к тому, что Центр будет закупать оружие только у этой фракции.",500,LOW
IndEvo_EngHub,Инженерный центр,50,60,,7,,,"structure, unraidable",,graphics/industry/engHub.png,indevo.industries.EngineeringHub,"Поскольку сектор теряет знания, учреждение, специализирующееся на разборке функционирующих космических кораблей, является редким зрелищем и доступно только богатым или отчаявшимся.

Разместите корабли в хранилище, чтобы произвести их обратную разработку. Как только вы достигнете 100% прогресса по корпусу, установите чертеж, чтобы перезаписать его.",500,HIGH
IndEvo_PrivatePort,Курьерский порт,30,40,,5,,,"structure, spaceport, tactical_bombardment",,graphics/industry/shipping_port.png,indevo.industries.courierport.industry.CourierPortV2,"Приватизированные доковые сооружения позволяют гораздо более прямолинейно подходить к судоходству - и имеют явное преимущество, заключающееся в обходе надоедливых правительственных чиновников. Все, что угодно, можно отправить куда угодно, если у вас есть средства.

Позволяет вам переправлять грузы между колониями с помощью повторяющихся транспортных контрактов.",500,MEDIUM
IndEvo_pirateHaven,База каперов,90,90,,10,,,"industry, tactical_bombardment",,graphics/industry/pirateHaven.png,indevo.industries.privateer.industry.PrivateerBase,"База приватиров позволяет теневой части вашего населения вести выбранный ими образ жизни полулегальным способом, что может принести вам неплохую прибыль от того, что в противном случае было бы просто неприятностью. Это также приведет к появлению пиратского поднаселения на вашей планете.

Она будет организовывать набеги на враждебные звездные системы и привозить трофеи, в зависимости от индустриализации разграбленных планет. Добыча уменьшается со временем, если не ""освобождается"" новый материал.",500,LOW
