name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Крио-артиллерия,IndEvo_cryoartillery,3,,50000,800,,1000,,50,20,16,,,,FRAGMENTATION,350,,0,1,,,0,3,0.5,3,,800,,,,,,,"energy15, no_dealer, restricted, codex_unlockable",,Replicated,,General,,,,,,,,,,22.25
Деградатор материи,IndEvo_degrader,3,,25000,600,,25,,5,30,8,,,,HIGH_EXPLOSIVE,50,,0,3,4,0.2,4,4,,,,700,,,,,,,"he10, no_dealer, restricted, codex_unlockable",,Replicated,,Anti Armor,,,,Spread Pattern,Каждый выстрел наносит дополнительно 100 единиц урона броне в течение 10 секунд. Этот урон не уменьшается броней.,100 | 10,,,,22.25
Нарушитель причинности,IndEvo_causalitygun,3,,100000,900,1200,,600,0,7,30,,,,KINETIC,,1360,0.5,0.7,1.6,4,,,,,10000,,,,,,FIRE_WHEN_INEFFICIENT,,"kinetic20, beam17, LR, no_dealer, restricted, codex_unlockable",,Replicated,,General,,,,,"Попадания по корпусу или броне часто переходят на оружие и двигатели, нанося дополнительный ЭМИ и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу, основанную на уровне накопленной энергии цели.",,,,,29.1
Импульсный карабин,IndEvo_pulsedcarbine,2,,50000,1000,,80,,5,15,15,30,2.5,10,KINETIC,72,,0,0.1,,,,,,,,1000,,,,,,,"kinetic16, no_dealer, restricted, codex_unlockable",,Replicated,,Anti Shield,,,,,"Выстрелы могут терять когезию и распадаться. %s выстрелов достигают половины максимальной дальности, а %s выстрелов достигают полной дальности.",100% | 50%,,,,22.25
Циклический генератор рифт-импульсов,IndEvo_riftgun,1,,25000,500,,40,,0,50,8,,,,ENERGY,64,,0.333333,0,,,,,,,,1000,,,,,,,"energy11, no_dealer, restricted, codex_unlockable",,Replicated,,General,,,,,"Снаряды имеют шанс породить разломы при ударе, взрывающиеся с уроном %s каждый.",200,,,,19.25
Рифт-импульсный минный тральщик,IndEvo_riftgun_minelayer,0,,,,,200,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Минометная артиллерия,IndEvo_artillery_mortar,3,,0,5000,,2500,1000,1000,3,40,6,0.1,3,ENERGY,0,,1,2,3,0.75,150,150,0,0,,500,500,10,3000,,,"SYSTEM, DO_NOT_CONSERVE","he20, no_dealer, restricted, no_drop, no_drop_salvage, codex_unlockable",,DSD,,Anti Armor,,,,,,,,,,25.01
Рельсотронная артиллерия,IndEvo_artillery_railgun,3,,0,5000,,3500,1000,5000,2,,3,0.1,3,KINETIC,0,,5,2,3,1,0,5,5,2.5,,4200,,,500,,,"SYSTEM, DO_NOT_CONSERVE","kinetic20, no_dealer, restricted, no_drop, no_drop_salvage, codex_unlockable",,DSD,,Long Range Support,,,,,,,,,,25.02
Ракетная артиллерия,IndEvo_artillery_missile,3,,0,10000,,6000,1000,1000,3,32,2,0.025,1,ENERGY,0,,0,10,,,,,,,,120,300,900,4000,,,"SYSTEM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","energy20, no_dealer, restricted, no_drop, no_drop_salvage, codex_unlockable",,DSD,,General,,,,,,,,,,25.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Импульсатор Хартлигта,hartpulse,1,,4500,700,,150,,0,20,20,30,2,,ENERGY,125,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,,"energy18, no_dealer, restricted, codex_unlockable",,Galatia Academy,,General,,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
