name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Незначительные дефекты печати,IndEvo_print_low,,,,"dmod, codex_unlockable",,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsLow,"Этот корпус имеет некоторые признаки автоматизированного строительства - разъемы, приваренные к гнездам, небольшие фрагменты металла, торчащие из стен из-за ошибок сканирования, и другие незначительные, но раздражающие проблемы.

Снижает скорость ремонта на %s, увеличивает деградацию боеготовности после пикового времени работы на %s, и имеет небольшой шанс испытать %s в бою.",,,graphics/hullmods/printing_defects.png
Дефекты печати,IndEvo_print_med,,,,"dmod, codex_unlockable",,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsMed,"Этот корпус имеет характерные признаки автоматизированного строительства - стальные пластины там, где их не должно быть, двери, приваренные к рамам, металлические балки, пересекающие коридоры, и постоянные мелкие проблемы, преследующие этот корабль.

Снижает скорость ремонта на %s, увеличивает стоимость содержания на %s, увеличивает деградацию боеготовности после пикового времени работы на %s и имеет шанс испытать %s в бою.",,,graphics/hullmods/printing_defects.png
Серьезные дефекты печати,IndEvo_print_high,,,,"dmod, codex_unlockable",,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsHigh,"Этот корпус несет на себе тяжелые следы автоматизированного строительства - неисправные переборки, утечка атмосферы и целые недоступные секции из-за ошибок сканирования и строительства. Это яркий пример того, почему эта технология не получила распространения до коллапса.

Снижает скорость ремонта на %s, увеличивает стоимость содержания на %s, замедляет скорость поворота турелей на %s, увеличивает деградацию боеготовности после пикового времени работы на %s и имеет высокий шанс испытать %s в бою.",,,graphics/hullmods/printing_defects.png
Автоматизированное строительство,IndEvo_auto,,,,codex_unlockable,,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintingHullMod,"Этот корпус был создан полностью автоматизированными средствами. Никакие усилия не смогут полностью удалить следы этого, даже если они больше не мешают.",,,graphics/hullmods/automated_construction.png
Инвизибатор,IndEvo_magicInvisibator,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,indevo.industries.artillery.hullmods.MagicInvisibator,"Я беру кролика и кладу его в свою шляпу, пуф, и он исчез.",,,graphics/hullmods/automated_construction.png
Корабельный питомец,IndEvo_petHullmod,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,На этом корабле живёт питомец. Управляйте им в любом из центров питомцев в Персейском секторе.,,,graphics/hullmods/pet_icon_hullmod.png
Эксперимент кузнечного мира,IndEvo_handBuilt,,,,,,,,TRUE,,0,0,0,0,indevo.industries.changeling.hullmods.HandBuiltHullmod,"Корабль, рождённый в горячечном бреду кузнеца-искусника с планеты-кузницы. Созданный для исследований, в качестве опытного проекта или просто по прихоти, каждый из них уникален, изобилует особенностями, как полезными, так и вредными. Эти суда редко используются в военных целях; те, что оказываются хотя бы отдалённо функциональными, ценятся как эзотерические предметы коллекционирования или разбираются на части, их внутренности вносят свой вклад в следующее потенциально сомнительное предприятие.",,,graphics/hullmods/forgeworld_experimental.png
Адские капсулы,IndEvo_hellpods,,,,,,,,TRUE,,0,0,0,0,indevo.industries.changeling.hullmods.Hellpods,"Обычные удобства, предоставляемые морпехам, были убраны, чтобы освободить место для системы быстрого развертывания в атмосфере, что позволяет наносить чрезвычайно эффективные точечные удары с чрезвычайно высокими потерями.",,,graphics/hullmods/hellpods.png
Настройка приводного поля,IndEvo_augfield,1,,,"req_spaceport, special no_drop, no_drop_salvage, codex_unlockable","Logistics, Requires Dock",8000,,,,4,8,10,15,indevo.dialogue.research.hullmods.FieldModulation,"Оптимизируйте параметры своего двигателя с помощью данных, полученных в результате исследовательского проекта. Увеличивает максимальный уровень форсажа на %s ценой увеличения расхода припасов и топлива на %s.",Increases maximum burn level.,"Full integration of the protocols allows for much better results; negating the increased %s consumption, improving fuel economy by %s and decreasing the sensor profile by %s.",graphics/hullmods/indevo_augfield.png
Излучатель камуфляжа,IndEvo_CamouflageFieldEmitter,1,,,"req_spaceport, special, no_build_in, no_drop, no_drop_salvage, special, codex_unlockable",Requires Dock,15000,,,,4,8,10,15,indevo.dialogue.research.hullmods.CamouflageFieldEmitter,"Назвать этот клубок кабелей, излучателей и высокотехнологичных компонентов полем невидимости было бы оскорблением для всех полей невидимости. Но оно работает, по большей части.",,,graphics/hullmods/indevo_stealthfield.png
