name,id,tags,planetary,decivRemove,script,desc,icon,order
#Edicts,,,,,,,,
Edict: Forced Relocation,IndEvo_edict_forced_reloc,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_ForcedRelocation,"Перемещение вашего населения в другие колонии может звучать слегка неэтично, но это определенно самый эффективный способ развития небольшой колонии.",graphics/icons/markets/edict.png,3000
Edict: Industrial Incentives,IndEvo_edict_ind_incent,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Incentives,"Старая как мир мантра — чтобы заработать деньги, нужно потратить деньги.",graphics/icons/markets/edict.png,3000
Edict: Labour Restrictions,IndEvo_edict_labour_rest,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_LabourRestrictions,Меньше рабочего времени - больше времени на реализацию своих мечтаний. Меньше рабочего времени - это также меньше времени на зарабатывание денег для вас.,graphics/icons/markets/edict.png,3000
Edict: Subpopulation Cleansing,IndEvo_edict_cleanse,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Cleanse,"Избавление планеты от нежелательных элементов - отвратительная работа. Кроме того, это намного сложнее, если вы не можете удалить их стратегическими мерами из-за урбанизации.",graphics/icons/markets/edict.png,3000
Edict: Wartime Lockdown,IndEvo_edict_lockdown,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Lockdown,"Военный призыв, мобилизация военной промышленности и полная планетарная блокада могут значительно повысить оборонительный потенциал мира - но не бесплатно.",graphics/icons/markets/edict.png,3000
Edict: Customs Control,IndEvo_edict_customs,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Customs,"Направление всего внутрисистемного трафика через одно государство сделает немногих людей очень, очень богатыми, в то время как другие планеты будут платить за это.",graphics/icons/markets/edict.png,3000
Edict: Forced Labour,IndEvo_edict_conscription,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Conscription,"Реалии сектора не позволяют уделять внимание таким пустякам, как права человека, а призывная рабочая сила — дешевая рабочая сила. Ваше население, вероятно, будет другого мнения.",graphics/icons/markets/edict.png,3000
Edict: Hard Deadlines,IndEvo_edict_deadlines,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Deadlines,"Чрезвычайно сжатые сроки производства кораблей приводят к увеличению выпуска, увеличению текучести кадров, несчастным случаям и проблемам с качеством.",graphics/icons/markets/edict.png,3000
Edict: Exact Clearances,IndEvo_edict_clearances,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Clearances,"Сосредоточение внимания на качестве, а не на количестве при производстве кораблей приведет к меньшему количеству, но более качественным корпусам - роскошь, которую не каждая фракция может себе позволить.",graphics/icons/markets/edict.png,3000
Edict: Single-Child Policy,IndEvo_edict_lockColonySize,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_LockColonySize,"Рост не всегда выгоден - для того, чтобы оставаться незамеченным, меньший размер популяции может быть эффективнее большего.",graphics/icons/markets/edict.png,3000
Edict: Trade Incentives,IndEvo_edict_open_market,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_OpenMarket,"Покупайте и продавайте все, что душе угодно! Разрешение независимым торговцам открывать свои запасы для продажи в специально отведенных местах без дополнительной инфраструктуры не оказывает существенного влияния на доход колонии, но по-прежнему позволяет вам покупать у них.",graphics/icons/markets/edict.png,3000
Edict: Mandated Overtime,IndEvo_edict_fastBuild,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_FastBuild,"Введение 16-часового рабочего дня и призыв рабочей силы из несущественных отраслей промышленности невероятно ускорит строительные проекты. Хотя все остальное вряд ли будет сделано.",graphics/icons/markets/edict.png,3000
,,,,,,,,
#Conditions,,,,,,,,
Lawless Subpopulation,IndEvo_pirate_subpop,,,TRUE,indevo.industries.privateer.conditions.PirateSubpopulationCondition,"Значительная часть населения на этой планете состоит из действующих и бывших пиратов, головорезов, ""независимых"" государств, не соблюдающих местные правила, или беглецов, привлеченных благоприятными условиями жизни, которые может предоставить лицензия капера.

Хорошие отношения с самыми сомнительными фракциями сектора могут оказать очень положительное влияние на эту колонию - при условии наличия каперской базы.",graphics/icons/markets/pirate_subpop.png,130
Industrial Ruins,IndEvo_RuinsCondition,"show_in_codex, codex_unlockable, , planet_search",,,indevo.industries.derelicts.conditions.RuinsCondition,"На $market можно найти старые здания неизвестного назначения и происхождения. Механизмы кажутся в основном неповрежденными и намного более продвинутыми, чем все, что сектор после коллапса мог когда-либо надеяться построить.",graphics/icons/markets/indRuins.png,10
Cryorevival Disabler (hidden),IndEvo_CryoRevivalDisabler,,,TRUE,indevo.industries.derelicts.conditions.CryoRevivalDisabler,внутреннее скрытое условие для специальных функций riftGen,graphics/icons/markets/placeholder.png,1000
ressourceCondition,IndEvo_ressCond,,,TRUE,indevo.economy.conditions.ResourceCondition,,graphics/icons/markets/placeholder.png,1000
RuinfraCond,IndEvo_RuinedInfra,planet_search,,,indevo.industries.ruinfra.conditions.DerelictInfrastructureCondition,,graphics/icons/markets/placeholder.png,1000
WorldWonderCondition,IndEvo_WorldWonderCondition,,,TRUE,indevo.industries.worldwonder.conditions.WorldWonderCondition,внутреннее скрытое условие для функциональности мировых чудес,graphics/icons/markets/placeholder.png,1000
#Engineered Plague,IndEvo_engineered_plague,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$marketName has been contaminated by a ferociously virulent engineered plague. Extensive decontamination procedures are required for all inhabitants and exports, significantly increasing operating costs.",graphics/icons/markets/xenoplague.png,21
,,,,,,,,
Self-Replicating Minefield,IndEvo_mineFieldCondition,"show_in_codex, codex_unlockable, planet_search",,,indevo.exploration.minefields.conditions.MineFieldCondition,"Старое, автономное самовоспроизводящееся минное поле окружает эту планету. Несмотря на свой возраст, мины продолжают пополняться и находятся в рабочем состоянии. Внутренняя система ""свой-чужой"", по-видимому, основана на государстве, контролирующем планету.",graphics/icons/markets/mineCondition.png,140
Domain Artillery Station,IndEvo_ArtilleryStationCondition,"show_in_codex, codex_unlockable, planet_search",,,indevo.industries.artillery.conditions.ArtilleryStationCondition,Над этой планетой нависает оружейная платформа Доминиона.,graphics/icons/markets/artyCondition.png,140
