id,name,value,maxlife,tags,foodCommodities,rarity,foodPerMonth,desc,natural_death,icon,hullmod
lizzer,Thermochromic Lizard,2200,1830,c_reptile,"IndEvo_pet_food, food, supplies, organs",1,1,"Милое существо, которое проводит большую часть времени на горячих поверхностях машинного отделения, меняя цвет в зависимости от температуры. Некоторые механики, кажется, доверяют этим ящерицам больше, чем системы мониторинга корабля. Они считаются очень дружелюбными и простыми в содержании, в основном из-за того, что они слишком ленивы, чтобы двигаться при приближении. Они, по-видимому, могут выжить в активных плазменных камерах.",переместился в более теплое место в топливопроводе двигателя.,graphics/pets/lizzer.png,IndEvo_petHullmod
plasmasnek,Plasma Snake,2200,1830,c_reptile,"IndEvo_pet_food, food, supplies, organs",1,1,"Это длинные, стройные существа, которые излучают светящееся плазменное поле вокруг своей кожи. Они популярны благодаря своей поразительной внешности и способности производить свет в темных местах, а также отлично подходят в качестве импровизированного оружия в крайнем случае, но их нужно держать в клетках Фарадея, чтобы они не мешали чувствительным системам на борту корабля.",сдался под постоянными колебаниями полей заряда кораблей.,graphics/pets/plasmasnek.png,IndEvo_petHullmod
mechiders,Mechiders,3000,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.9,1,"Это крошечные паукообразные сервисные дроны, которые могут ползать по почти любой поверхности и обычно используются для различных задач по техническому обслуживанию на звездолете. Они легко настраиваются и могут быть запрограммированы на выполнение чего угодно, от уборки до наблюдения. Большинство людей находят их отталкивающими, но всегда найдется тот чудаковатый член экипажа, который их любит. На любом капитальном корабле, достойном своего имени, есть нелегальный бойцовский клуб для модифицированных.",получил слишком много повреждений в бою на арене и его нельзя было спасти.,graphics/pets/mechiders.png,IndEvo_petHullmod
tammy,Tammy,3000,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.3,2,"Алхимический мох Tri-Tachyon, ласково называемый ""Тэмми"" большинством космонавтов, является результатом ошибки доставки между отделами в пределах черной зоны Tri-Tachyon. Сочетая в себе органические и нанотехнологии, он не является ни растением, ни ботом, но определенно полуразумен. Он имеет тенденцию использовать свой горшок в качестве туловища, образуя корни для ходьбы и любит играть шутки с электросетью. Бывшего сотрудника, спасшего его от крематора, большинство членов экипажа называют героем, а техники по обслуживанию считают злой ведьмой.",случайно ударил себя током и выключился.,graphics/pets/tammy.png,IndEvo_petHullmod
hive,Bluejacket Hive,3000,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.4,2,"Хотя это и не совсем живое существо, этот Tri-Tachyon Drone Hive производит рои ИИ дельта-уровня с общим сознанием, которые служат посланниками и компаньонами. Они могут даже формировать некоторые простые игры! Все ульи Bluejacket могут подключаться к сети и обычно взаимодействуют друг с другом, когда находятся достаточно близко, что позволяет собирать скрытую информацию - то есть, если бы они не были на три десятилетия устаревшими с легко подделанными кодами безопасности. Они едят кредитные палочки для пропитания.","превратился в кирпич из-за неудачного обновления программного обеспечения. Круговорот жизни и все такое.",graphics/pets/hive.png,IndEvo_petHullmod
fairy,Clockwork Fairy,3000,2190,"c_mech, no_sell, no_drop","IndEvo_pet_food, IndEvo_parts, supplies",0.5,1,"Созданная в рамках спонсируемого исследовательского проекта в Galatia Academy, Clockwork Fairy - это завораживающее творение из замысловатого часового механизма и передовых технологий. Это очаровательное механическое существо, любимое детьми и энтузиастами сказок, жужжит вокруг с озорным очарованием, предаваясь игривым проступкам, таким как мелкое воровство и уклонение от уплаты налогов. Его причудливое присутствие покоряет сердца и вызывает радость, в то время как пираты, по неизвестным причинам, питают к нему врожденную неприязнь.",развалился в воздухе и остается неподвижным.,graphics/pets/fairy.png,IndEvo_petHullmod
bugdog,Bugdog,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies",0.1,2,"Странное существо неизвестного происхождения, в основном известное своим постоянно недовольным лицом и тенденцией отращивать длинные и причудливые брови в состоянии стресса. Конкурсы красоты для жуко-псов с модно уложенными волосами на лице были учреждены вскоре после их открытия, но были признаны бесчеловечными, когда было обнаружено несколько специализированных магазинов стресса. Жуко-псы печально известны тем, что вызывают электронные сбои вокруг себя, оставляя за собой след из сломанных устройств и разочарованных владельцев. Их презрительные фырканья и ворчание считаются привлекательными небольшой группой слегка тронутых космонавтов.",умер от стресса.,graphics/pets/bugdog.png,IndEvo_petHullmod
doge,Space Dog,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",1,2,"Простая собака из породы, привыкшей к переменной гравитации кораблей и внезапному изменению ориентации, которое может произойти в гравитационных колодцах. Она по-прежнему остается лучшим другом многих членов экипажа, даже если возникают небольшие технические трудности при ее выгуле.",ушел с миром.,graphics/pets/doge.png,IndEvo_petHullmod
spiritfox,Spirit Fox,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",0.7,1,"Эти лисы, считающиеся церемониальными домашними животными Церкви Ладда, обычно встречаются у паломников, путешествующих по сектору. Фольклор рассказывает о том, что Дух Ладда смотрит на мир их глазами, воспринимая грех и страдания, а затем прощает путнику его пороки, когда путешествие завершено - чтобы поблагодарить его за увиденное и невидимое. Spirit Foxes дружелюбны и игривы, но требуют больше ухода, чем другие животные.",вернулся в вечные объятия Ладда.,graphics/pets/spiritfox.png,IndEvo_petHullmod
hampter,Hamster,200,31,c_mammal,"IndEvo_pet_food, food, supplies",2,1,"Это хомяк. Ненавидит искусственную гравитацию. Как правило, умирает в течение месяца.",HAMSTER_CAUSE_OF_DEATH,graphics/pets/hampter.png,IndEvo_petHullmod
